title,artist,genre,low,high
Wagon Wheel,Old Crow Medicine Show,Country,G2,D4
Amarillo by Morning,George Strait,Country,A2,D4
The Way You Look Tonight,Frank Sinatra,Jazz Standards,G2,C4
Amazing Grace,Traditional,Gospel,G2,D4
How Great Thou Art,Traditional,Gospel,F2,E4
It Is Well with My Soul,Traditional,Gospel,G2,C4
Great Is Thy Faithfulness,Traditional,Gospel,G2,C4
Operator,Jim Croce,Rock,G2,C4
Bohemian Rhapsody (ballad section),Queen,Rock,A2,A4
Vincent,Don McLean,Pop,G2,C4
I Will Follow You into the Dark,Death Cab for Cutie,Pop,G2,C4
Agony,Into the Woods,Show Tunes,C3,F4
Ten Minutes Ago,Cinderella,Show Tunes,C3,E4
Wait for It,Hamilton,Show Tunes,C3,D4
City of New Orleans,Arlo Guthrie,Folk,G2,C4
If I Had a Hammer,Pete Seeger,Folk,G2,C4
Turn! Turn! Turn!,The Byrds,Folk,G2,C4
Mr. Tambourine Man,The Byrds,Folk,G2,C4
To Make You Feel My Love,Garth Brooks,Country,A2,D4
Callin' Baton Rouge,Garth Brooks,Country,G2,C4
Society,Eddie Vedder,Country,G2,C4
Smile,Nat King Cole,Jazz Standards,G2,D4
Someone to Watch Over Me,Frank Sinatra,Jazz Standards,G2,C4
I've Got You Under My Skin,Frank Sinatra,Jazz Standards,G2,D4
The Lady Is a Tramp,Frank Sinatra,Jazz Standards,G2,D4
Autumn Leaves,Jazz Standard,Jazz Standards,G2,C4
Moon River,Andy Williams,Jazz Standards,G2,D4
It Had to Be You,Jazz Standard,Jazz Standards,G2,C4
But Not for Me,Jazz Standard,Jazz Standards,G2,C4
Cry Me a River,Jazz Standard,Jazz Standards,G2,D4
All of Me,Jazz Standard,Jazz Standards,G2,C4
Ain't Misbehavin',Fats Waller,Jazz Standards,G2,C4
Blue Skies,Jazz Standard,Jazz Standards,G2,C4
The Nearness of You,Jazz Standard,Jazz Standards,G2,C4
His Eye Is on the Sparrow,Traditional,Gospel,G2,D4
Just a Closer Walk with Thee,Traditional,Gospel,G2,C4
I'll Fly Away,Traditional,Gospel,G2,D4
Down by the Riverside,Traditional,Gospel,G2,C4
"Swing Low, Sweet Chariot",Traditional,Gospel,F2,C4
Go Down Moses,Traditional,Gospel,F2,C4
Wade in the Water,Traditional,Gospel,F2,C4
Nobody Knows the Trouble I've Seen,Traditional,Gospel,F2,C4
"Precious Lord, Take My Hand",Traditional,Gospel,G2,D4
In the Garden,Traditional,Gospel,G2,C4
What a Friend We Have in Jesus,Traditional,Gospel,G2,C4
Rock of Ages,Traditional,Gospel,G2,D4
"Nearer, My God, to Thee",Traditional,Gospel,G2,C4
Blessed Assurance,Traditional,Gospel,G2,D4
Just as I Am,Traditional,Gospel,G2,C4
Turn Your Eyes Upon Jesus,Traditional,Gospel,G2,C4
"Holy, Holy, Holy",Traditional,Gospel,G2,D4
Come Thou Fount of Every Blessing,Traditional,Gospel,G2,C4
Be Thou My Vision,Traditional,Gospel,G2,C4
It Is No Secret,Stuart Hamblen,Gospel,G2,C4
He Touched Me,Bill Gaither,Gospel,G2,C4
How Firm a Foundation,Traditional,Gospel,G2,C4
Softly and Tenderly,Traditional,Gospel,G2,C4
Victory in Jesus,Traditional,Gospel,G2,D4
Four Strong Winds,Ian & Sylvia / Neil Young,Folk,G2,C4
Just Once,James Ingram,Soul/R&B,A2,D4
Misty,Jazz Standard,Jazz Standards,G2,D4
Sway,Dean Martin,Jazz Standards,G2,D4
In Christ Alone,Keith & Kristyn Getty,Gospel,G2,D4
Layla (Acoustic),Eric Clapton,Rock,G2,D4
Kyrie,Mr. Mister,Rock,G2,D4
Old Time Rock and Roll,Bob Seger,Rock,G2,D4
Night Moves,Bob Seger,Rock,G2,D4
Against the Wind,Bob Seger,Rock,G2,D4
Movin' Out (Anthony's Song),Billy Joel,Pop,A2,D4
Payphone,Maroon 5,Pop,A2,D4
Skid Row (Downtown),Little Shop of Horrors,Show Tunes,C3,D4
Ya Got Trouble,The Music Man,Show Tunes,C3,D4
If I Can't Love Her,Beauty and the Beast,Show Tunes,C3,D4
He Lives in You,The Lion King,Show Tunes,C3,D4
The Other Side,The Greatest Showman,Show Tunes,C3,D4
"Sincerely, Me",Dear Evan Hansen,Show Tunes,C3,D4
Confrontation,Jekyll & Hyde,Show Tunes,C3,D4
Dog Eat Dog,Les Misérables,Show Tunes,C3,D4
The Confrontation,Les Misérables,Show Tunes,C3,F4
What Kind of Fool Am I,"Stop the World, I Want to Get Off",Show Tunes,C3,D4
Do You Love Me?,Fiddler on the Roof,Show Tunes,C3,D4
To Life (L'Chaim),Fiddler on the Roof,Show Tunes,C3,D4
Impossible,Cinderella,Show Tunes,C3,D4
Singin' in the Rain,Singin' in the Rain,Show Tunes,C3,D4
I've Never Been in Love Before,Guys and Dolls,Show Tunes,C3,D4
Poor Jud is Daid,Oklahoma!,Show Tunes,C3,D4
"Gee, Officer Krupke",West Side Story,Show Tunes,C3,D4
Cool,West Side Story,Show Tunes,C3,D4
Rock Island,The Music Man,Show Tunes,C3,D4
Pancho and Lefty,Townes Van Zandt,Folk,G2,C4
To Ramona,Bob Dylan,Folk,G2,C4
The Water Is Wide,Traditional,Folk,G2,C4
Wayfaring Stranger,Traditional,Folk,G2,C4
Shenandoah,Traditional,Folk,G2,C4
Down in the Valley,Traditional,Folk,G2,C4
Where Have All the Flowers Gone,Pete Seeger,Folk,G2,C4
Universal Soldier,Buffy Sainte-Marie (male cover key),Folk,G2,C4
Wooden Ships,"Crosby, Stills & Nash",Folk,G2,C4
Norwegian Wood,The Beatles,Folk,G2,C4
The Circle Game,Tom Rush,Folk,G2,C4
Urge for Going,Tom Rush,Folk,G2,C4
No Regrets,Tom Rush,Folk,G2,C4
500 Miles,"Peter, Paul and Mary",Folk,G2,C4
Kumbaya,Traditional,Folk,G2,C4
It Makes No Difference,The Band,Folk,G2,C4
Acadian Driftwood,The Band,Folk,G2,C4
Fare Thee Well (Dink's Song),Traditional,Folk,G2,C4
Man of Constant Sorrow,Traditional,Folk,G2,C4
Angel Band,Traditional,Folk,G2,C4
Wildwood Flower,Traditional,Folk,G2,C4
Will the Circle Be Unbroken,Traditional,Folk,G2,C4
Big Rock Candy Mountain,Traditional,Folk,G2,C4
You're All I Need to Get By,Marvin Gaye & Tammi Terrell,Soul/R&B,G2,D4
Mercy Mercy Me (The Ecology),Marvin Gaye,Soul/R&B,G2,D4
Inner City Blues,Marvin Gaye,Soul/R&B,G2,D4
Tired of Being Alone,Al Green,Soul/R&B,G2,D4
Simply Beautiful,Al Green,Soul/R&B,G2,D4
If Only for One Night,Luther Vandross,Soul/R&B,G2,D4
A House Is Not a Home,Luther Vandross,Soul/R&B,G2,D4
You Are Everything,The Stylistics,Soul/R&B,G2,D4
Backstabbers,The O'Jays,Soul/R&B,G2,D4
If You Don't Know Me by Now,Harold Melvin & the Blue Notes,Soul/R&B,G2,D4
Wake Up Everybody,Harold Melvin & the Blue Notes,Soul/R&B,G2,D4
Could It Be I'm Falling in Love,The Spinners,Soul/R&B,G2,D4
I'm So Lonesome I Could Cry,Hank Williams,Country,G2,C4
"Cold, Cold Heart",Hank Williams,Country,G2,C4
Little Bitty,Alan Jackson,Country,G2,C4
Bobbie Sue,The Oak Ridge Boys,Country,G2,C4
Riding with Private Malone,David Ball,Country,G2,C4
Standing Outside the Fire,Garth Brooks,Country,G2,C4
Much Too Young (to Feel This Damn Old),Garth Brooks,Country,G2,C4
My Maria,Brooks & Dunn,Country,G2,C4
It's Your Love,Tim McGraw & Faith Hill,Country,G2,C4
Stardust,Hoagy Carmichael,Jazz Standards,G2,D4
Skylark,Hoagy Carmichael,Jazz Standards,G2,D4
The Very Thought of You,Jazz Standard,Jazz Standards,G2,D4
The Best Is Yet to Come,Frank Sinatra,Jazz Standards,G2,D4
I Get a Kick Out of You,Jazz Standard,Jazz Standards,G2,D4
Let's Fall in Love,Jazz Standard,Jazz Standards,G2,D4
Just One of Those Things,Jazz Standard,Jazz Standards,G2,D4
Almost Like Being in Love,Jazz Standard,Jazz Standards,G2,D4
On a Clear Day (You Can See Forever),Jazz Standard,Jazz Standards,G2,D4
April in Paris,Jazz Standard,Jazz Standards,G2,D4
Summertime,Jazz Standard,Jazz Standards,G2,D4
I Got Rhythm,Jazz Standard,Jazz Standards,G2,D4
'S Wonderful,Jazz Standard,Jazz Standards,G2,D4
They Can't Take That Away from Me,Jazz Standard,Jazz Standards,G2,D4
Embraceable You,Jazz Standard,Jazz Standards,G2,D4
Isn't It Romantic,Jazz Standard,Jazz Standards,G2,D4
Where or When,Jazz Standard,Jazz Standards,G2,D4
"Bewitched, Bothered and Bewildered",Jazz Standard,Jazz Standards,G2,D4
It Never Entered My Mind,Jazz Standard,Jazz Standards,G2,D4
Days of Wine and Roses,Jazz Standard,Jazz Standards,G2,D4
A Nightingale Sang in Berkeley Square,Jazz Standard,Jazz Standards,G2,D4
Autumn in New York,Jazz Standard,Jazz Standards,G2,D4
Speak Low,Jazz Standard,Jazz Standards,G2,D4
Lullaby of Birdland,Jazz Standard,Jazz Standards,G2,D4
How High the Moon,Jazz Standard,Jazz Standards,G2,D4
Tenderly,Jazz Standard,Jazz Standards,G2,D4
Dream a Little Dream of Me,Jazz Standard,Jazz Standards,G2,D4
It's Only a Paper Moon,Jazz Standard,Jazz Standards,G2,D4
Pennies from Heaven,Jazz Standard,Jazz Standards,G2,D4
Too Marvelous for Words,Jazz Standard,Jazz Standards,G2,D4
What'll I Do,Jazz Standard,Jazz Standards,G2,D4
All of You,Jazz Standard,Jazz Standards,G2,D4
You'd Be So Nice to Come Home To,Jazz Standard,Jazz Standards,G2,D4
Fascinating Rhythm,Jazz Standard,Jazz Standards,G2,D4
Somebody Loves Me,Jazz Standard,Jazz Standards,G2,D4
South of the Border,Frank Sinatra,Jazz Standards,G2,D4
King of My Heart,John Mark McMillan,Gospel,G2,D4
This Is Amazing Grace,Phil Wickham,Gospel,G2,D4
Holy Spirit,Bryan & Katie Torwalt,Gospel,G2,D4
Total Praise,Richard Smallwood,Gospel,G2,D4
I Won't Complain,Traditional Gospel,Gospel,G2,D4
Order My Steps,Traditional Gospel,Gospel,G2,D4
Jesus Loves Me,Traditional,Gospel,G2,D4
Trust and Obey,Traditional,Gospel,G2,D4
Leaning on the Everlasting Arms,Traditional,Gospel,G2,D4
When the Roll Is Called Up Yonder,Traditional,Gospel,G2,D4
Standing on the Promises,Traditional,Gospel,G2,D4
Ancient of Days,Jesus Culture,Gospel,G2,D4
Forever (We Sing Hallelujah),Kari Jobe (male cover key),Gospel,G2,D4
"Lord, I Lift Your Name on High",Rick Founds,Gospel,G2,D4
As the Deer,Martin Nystrom,Gospel,G2,D4
I Exalt Thee,Traditional Praise,Gospel,G2,D4
Majesty,Jack Hayford,Gospel,G2,D4
He Is Lord,Traditional,Gospel,G2,D4
My Tribute (To God Be the Glory),Andraé Crouch,Gospel,G2,D4
Through It All,Andraé Crouch,Gospel,G2,D4
Farther Along,Traditional,Gospel,G2,D4
In the Sweet By and By,Traditional,Gospel,G2,D4
When We All Get to Heaven,Traditional,Gospel,G2,D4
I Surrender All,Traditional,Gospel,G2,D4
