artist,song_titles_still_unverified,reason
Al Green,Tired of Being Alone; Simply Beautiful,"no_confident_match (scraped 11 songs, matched 2/4)"
Alan Jackson,Little Bitty,"no_confident_match (scraped 52 songs, matched 5/6)"
Andraé Crouch,My Tribute (To God Be the Glory); Through It All,"no_confident_match (scraped 32 songs, matched 2/4)"
Andy Williams,Moon River,"no_confident_match (scraped 26 songs, matched 0/1)"
Arlo Guthrie,City of New Orleans,"no_confident_match (scraped 2 songs, matched 0/1)"
Beauty and the Beast,If I Can't Love Her,"no_confident_match (scraped 6 songs, matched 1/2)"
Bill Gaither,He Touched Me,"no_confident_match (scraped 11 songs, matched 0/1)"
Billy Joel,Movin' Out (Anthony's Song),"no_confident_match (scraped 98 songs, matched 7/8)"
Bob Dylan,To Ramona,"no_confident_match (scraped 100 songs, matched 9/10)"
Bob Seger,Old Time Rock and Roll; Night Moves; Against the Wind,"no_confident_match (scraped 19 songs, matched 2/5)"
Brooks & Dunn,My Maria,"no_confident_match (scraped 30 songs, matched 5/6)"
Bryan & Katie Torwalt,Holy Spirit,"no_confident_match (scraped 6 songs, matched 0/1)"
Cinderella,Ten Minutes Ago; Impossible,"no_confident_match (scraped 5 songs, matched 0/2)"
David Ball,Riding with Private Malone,"no_confident_match (scraped 2 songs, matched 0/1)"
Dean Martin,Sway,"no_confident_match (scraped 44 songs, matched 3/4)"
Dear Evan Hansen,"Sincerely, Me","no_confident_match (scraped 6 songs, matched 3/4)"
Don McLean,Vincent,"no_confident_match (scraped 20 songs, matched 1/2)"
Eddie Vedder,Society,"no_confident_match (scraped 2 songs, matched 0/1)"
Eric Clapton,Layla (Acoustic),"no_confident_match (scraped 87 songs, matched 4/5)"
Fiddler on the Roof,Do You Love Me?; To Life (L'Chaim),"no_confident_match (scraped 10 songs, matched 3/5)"
Frank Sinatra,The Way You Look Tonight; Someone to Watch Over Me; I've Got You Under My Skin; The Lady Is a Tramp; The Best Is Yet to Come; South of the Border,"no_confident_match (scraped 171 songs, matched 18/25)"
Garth Brooks,To Make You Feel My Love; Callin' Baton Rouge; Standing Outside the Fire; Much Too Young (to Feel This Damn Old),"no_confident_match (scraped 55 songs, matched 6/10)"
George Strait,Amarillo by Morning,"no_confident_match (scraped 50 songs, matched 6/7)"
Guys and Dolls,I've Never Been in Love Before,"no_confident_match (scraped 12 songs, matched 3/4)"
Hank Williams,"I'm So Lonesome I Could Cry; Cold, Cold Heart","no_confident_match (scraped 53 songs, matched 3/5)"
Hoagy Carmichael,Stardust; Skylark,"no_confident_match (scraped 8 songs, matched 0/2)"
Into the Woods,Agony,"no_confident_match (scraped 12 songs, matched 1/2)"
James Ingram,Just Once,"no_confident_match (scraped 4 songs, matched 0/1)"
Jekyll & Hyde,Confrontation,"no_confident_match (scraped 15 songs, matched 1/2)"
