title,artist,old_low,old_high,new_low,new_high,source_url
What I Did for Love,A Chorus Line,C3,D4,B3,C#5,https://singingcarrots.com/artist-range?artist=A%20Chorus%20Line
Comedy Tonight,A Funny Thing Happened on the Way to the Forum,C3,D4,A2,E4,https://singingcarrots.com/artist-range?artist=A%20Funny%20Thing%20Happened%20on%20the%20Way%20to%20the%20Forum
Free,A Funny Thing Happened on the Way to the Forum,C3,D4,B2,F4,https://singingcarrots.com/artist-range?artist=A%20Funny%20Thing%20Happened%20on%20the%20Way%20to%20the%20Forum
Say Something,A Great Big World,A2,D4,D3,F#4,https://singingcarrots.com/artist-range?artist=A%20Great%20Big%20World
Someone Like You,Adele,A2,D4,G3,G5,https://singingcarrots.com/artist-range?artist=Adele
Let's Stay Together,Al Green,A2,D4,E3,A4,https://singingcarrots.com/artist-range?artist=Al%20Green
Love and Happiness,Al Green,G2,D4,F3,A#4,https://singingcarrots.com/artist-range?artist=Al%20Green
Remember When,Alan Jackson,G2,C4,D3,C#4,https://singingcarrots.com/artist-range?artist=Alan%20Jackson
Chattahoochee,Alan Jackson,G2,C4,C3,D4,https://singingcarrots.com/artist-range?artist=Alan%20Jackson
Where Were You (When the World Stopped Turning),Alan Jackson,G2,C4,A2,C4,https://singingcarrots.com/artist-range?artist=Alan%20Jackson
Don't Rock the Jukebox,Alan Jackson,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Alan%20Jackson
Gone Country,Alan Jackson,G2,C4,B2,F#4,https://singingcarrots.com/artist-range?artist=Alan%20Jackson
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,G2,C4,A3,D5,https://singingcarrots.com/artist-range?artist=Alan%20Jackson%20%26%20Jimmy%20Buffett
Great Are You Lord,All Sons & Daughters,G2,C4,C4,D5,https://singingcarrots.com/artist-range?artist=All%20Sons%20%26%20Daughters
Soon and Very Soon,Andraé Crouch,G2,D4,D#3,D4,https://singingcarrots.com/artist-range?artist=Andra%C3%A9%20Crouch
Jesus Is the Answer,Andraé Crouch,G2,D4,A2,B3,https://singingcarrots.com/artist-range?artist=Andra%C3%A9%20Crouch
Wake Me Up,Avicii,A2,D4,D3,A4,https://singingcarrots.com/artist-range?artist=Avicii
The Nights,Avicii,A2,D4,E3,F#4,https://singingcarrots.com/artist-range?artist=Avicii
Hey Brother,Avicii,A2,D4,A#2,A4,https://singingcarrots.com/artist-range?artist=Avicii
Gaston,Beauty and the Beast,C3,D4,B3,E5,https://singingcarrots.com/artist-range?artist=Beauty%20and%20the%20Beast
Stand By Me,Ben E. King,A2,D4,F3,F4,https://singingcarrots.com/artist-range?artist=Ben%20E.%20King
No Longer Slaves,Bethel Music,G2,D4,A3,C5,https://singingcarrots.com/artist-range?artist=Bethel%20Music
Goodness of God,Bethel Music,G2,E4,C4,G5,https://singingcarrots.com/artist-range?artist=Bethel%20Music
Raise a Hallelujah,Bethel Music,G2,F4,A3,D5,https://singingcarrots.com/artist-range?artist=Bethel%20Music
Because He Lives,Bill & Gloria Gaither,G2,D4,A4,C6,https://singingcarrots.com/artist-range?artist=Bill%20%26%20Gloria%20Gaither
There's Something About That Name,Bill & Gloria Gaither,G2,D4,F4,D5,https://singingcarrots.com/artist-range?artist=Bill%20%26%20Gloria%20Gaither
Lovely Day,Bill Withers,G2,D4,B2,E4,https://singingcarrots.com/artist-range?artist=Bill%20Withers
Ain't No Sunshine,Bill Withers,A2,D4,E3,G4,https://singingcarrots.com/artist-range?artist=Bill%20Withers
Lean on Me,Bill Withers,G2,C4,B2,E4,https://singingcarrots.com/artist-range?artist=Bill%20Withers
Grandma's Hands,Bill Withers,G2,D4,B2,D4,https://singingcarrots.com/artist-range?artist=Bill%20Withers
Use Me,Bill Withers,G2,C4,C#3,G4,https://singingcarrots.com/artist-range?artist=Bill%20Withers
Just the Way You Are,Billy Joel,G2,C4,A#1,G3,https://singingcarrots.com/artist-range?artist=Billy%20Joel
Piano Man,Billy Joel,A2,G4,A2,G4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
Vienna,Billy Joel,D#3,G4,D#3,G4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
Uptown Girl,Billy Joel,A2,D4,G#3,B4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
My Life,Billy Joel,A2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
She's Always a Woman,Billy Joel,G2,C4,D3,G#4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
Honesty,Billy Joel,A#2,A4,A#2,A4,https://singingcarrots.com/artist-range?artist=Billy%20Joel
Me and Mrs. Jones,Billy Paul,G2,D4,G3,G4,https://singingcarrots.com/artist-range?artist=Billy%20Paul
Achy Breaky Heart,Billy Ray Cyrus,G2,C4,E4,C#5,https://singingcarrots.com/artist-range?artist=Billy%20Ray%20Cyrus
Girl from the North Country,Bob Dylan,G2,C4,A2,D5,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Knockin' on Heaven's Door,Bob Dylan,G2,C4,D3,D4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Blowin' in the Wind,Bob Dylan,A2,D4,B2,A3,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
The Times They Are A-Changin',Bob Dylan,G2,C4,G3,D4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Tangled Up in Blue,Bob Dylan,G2,C4,D3,D4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Shelter from the Storm,Bob Dylan,G2,C4,C3,C4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Simple Twist of Fate,Bob Dylan,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Forever Young,Bob Dylan,G2,C4,A2,A4,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
"Don't Think Twice, It's All Right",Bob Dylan,G2,C4,E3,C#5,https://singingcarrots.com/artist-range?artist=Bob%20Dylan
Bind Us Together,Bob Gillman,G2,D4,F3,C4,https://singingcarrots.com/artist-range?artist=Bob%20Gillman
"No Woman, No Cry",Bob Marley,G2,C4,A2,A4,https://singingcarrots.com/artist-range?artist=Bob%20Marley
Three Little Birds,Bob Marley,G2,C4,A3,A4,https://singingcarrots.com/artist-range?artist=Bob%20Marley
Redemption Song,Bob Marley,G2,C4,G3,G4,https://singingcarrots.com/artist-range?artist=Bob%20Marley
Stir It Up,Bob Marley,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Bob%20Marley
Turn the Page,Bob Seger,G2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Bob%20Seger
Mainstreet,Bob Seger,G2,D4,A2,F#4,https://singingcarrots.com/artist-range?artist=Bob%20Seger
Beyond the Sea,Bobby Darin,G2,D4,C3,F4,https://singingcarrots.com/artist-range?artist=Bobby%20Darin
Mack the Knife,Bobby Darin,G2,D4,D3,D4,https://singingcarrots.com/artist-range?artist=Bobby%20Darin
Skinny Love,Bon Iver,A2,D4,G3,G5,https://singingcarrots.com/artist-range?artist=Bon%20Iver
Wanted Dead or Alive,Bon Jovi,G2,D4,B2,A3,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
Livin' on a Prayer,Bon Jovi,A2,E4,G3,D#5,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
It's My Life,Bon Jovi,G2,D4,C3,A#4,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
Always,Bon Jovi,G2,D4,A2,B4,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
I'll Be There for You,Bon Jovi,G2,D4,B2,D5,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
Bed of Roses,Bon Jovi,G2,D4,F2,C5,https://singingcarrots.com/artist-range?artist=Bon%20Jovi
I Can't Make You Love Me,Bonnie Raitt,A2,D4,D4,G5,https://singingcarrots.com/artist-range?artist=Bonnie%20Raitt
Neon Moon,Brooks & Dunn,G2,C4,A2,G4,https://singingcarrots.com/artist-range?artist=Brooks%20%26%20Dunn
Boot Scootin' Boogie,Brooks & Dunn,G2,C4,F#3,G#4,https://singingcarrots.com/artist-range?artist=Brooks%20%26%20Dunn
Red Dirt Road,Brooks & Dunn,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Brooks%20%26%20Dunn
Only in America,Brooks & Dunn,G2,C4,E3,G4,https://singingcarrots.com/artist-range?artist=Brooks%20%26%20Dunn
Believe,Brooks & Dunn,G2,C4,A2,G4,https://singingcarrots.com/artist-range?artist=Brooks%20%26%20Dunn
Dancing in the Dark,Bruce Springsteen,G2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
Thunder Road,Bruce Springsteen,G2,D4,C3,A4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
Glory Days,Bruce Springsteen,G2,D4,A3,F#4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
The River,Bruce Springsteen,G2,D4,C3,G4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
My Hometown,Bruce Springsteen,G2,D4,A2,D4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
Streets of Philadelphia,Bruce Springsteen,G2,C4,A#2,F5,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
Born to Run,Bruce Springsteen,G2,D4,C3,G#4,https://singingcarrots.com/artist-range?artist=Bruce%20Springsteen
When I Was Your Man,Bruno Mars,A2,D4,G3,C5,https://singingcarrots.com/artist-range?artist=Bruno%20Mars
Count on Me,Bruno Mars,A2,D4,A3,C5,https://singingcarrots.com/artist-range?artist=Bruno%20Mars
Talking to the Moon,Bruno Mars,A2,D4,G#3,C#5,https://singingcarrots.com/artist-range?artist=Bruno%20Mars
Grenade,Bruno Mars,A2,D4,A3,D5,https://singingcarrots.com/artist-range?artist=Bruno%20Mars
Just the Way You Are,Bruno Mars,A2,D4,F3,C5,https://singingcarrots.com/artist-range?artist=Bruno%20Mars
(Everything I Do) I Do It for You,Bryan Adams,G2,D4,G3,B4,https://singingcarrots.com/artist-range?artist=Bryan%20Adams
Summer of '69,Bryan Adams,G2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Bryan%20Adams
Heaven,Bryan Adams,G2,D4,A3,C5,https://singingcarrots.com/artist-range?artist=Bryan%20Adams
Run to You,Bryan Adams,G2,D4,F#3,C#5,https://singingcarrots.com/artist-range?artist=Bryan%20Adams
If Ever I Would Leave You,Camelot,C3,F4,A2,D4,https://singingcarrots.com/artist-range?artist=Camelot
Camelot,Camelot,C3,E4,C3,D4,https://singingcarrots.com/artist-range?artist=Camelot
Soliloquy,Carousel,C3,G4,B3,G5,https://singingcarrots.com/artist-range?artist=Carousel
If I Loved You,Carousel,C3,F4,C4,F5,https://singingcarrots.com/artist-range?artist=Carousel
You'll Never Walk Alone,Carousel,C3,F4,C#4,E5,https://singingcarrots.com/artist-range?artist=Carousel
Behind Closed Doors,Charlie Rich,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Charlie%20Rich
The Most Beautiful Girl,Charlie Rich,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Charlie%20Rich
Anthem,Chess,C3,G#4,D4,G5,https://singingcarrots.com/artist-range?artist=Chess
Tennessee Whiskey,Chris Stapleton,G2,D4,C#3,A4,https://singingcarrots.com/artist-range?artist=Chris%20Stapleton
Traveller,Chris Stapleton,G2,D4,C3,A4,https://singingcarrots.com/artist-range?artist=Chris%20Stapleton
Whiskey and You,Chris Stapleton,G2,D4,A2,E4,https://singingcarrots.com/artist-range?artist=Chris%20Stapleton
Our God,Chris Tomlin,G2,D4,A3,G4,https://singingcarrots.com/artist-range?artist=Chris%20Tomlin
Indescribable,Chris Tomlin,G2,D4,B3,G4,https://singingcarrots.com/artist-range?artist=Chris%20Tomlin
How Great Is Our God,Chris Tomlin,G2,D4,E3,F4,https://singingcarrots.com/artist-range?artist=Chris%20Tomlin
Amazing Grace (My Chains Are Gone),Chris Tomlin,G2,D4,C3,F4,https://singingcarrots.com/artist-range?artist=Chris%20Tomlin
A Thousand Years,Christina Perri,A2,D4,F3,F5,https://singingcarrots.com/artist-range?artist=Christina%20Perri
Christ Be Magnified,Cody Carnes,G2,D4,E3,F#4,https://singingcarrots.com/artist-range?artist=Cody%20Carnes
Viva la Vida,Coldplay,A2,D4,D#3,G#4,https://singingcarrots.com/artist-range?artist=Coldplay
Yellow,Coldplay,A2,D4,F#3,G#4,https://singingcarrots.com/artist-range?artist=Coldplay
The Scientist,Coldplay,A2,D4,C3,A4,https://singingcarrots.com/artist-range?artist=Coldplay
Fix You,Coldplay,A2,D4,A#2,A#4,https://singingcarrots.com/artist-range?artist=Coldplay
A Sky Full of Stars,Coldplay,A2,E4,G#3,F#5,https://singingcarrots.com/artist-range?artist=Coldplay
Trouble,Coldplay,A2,D4,F#3,A4,https://singingcarrots.com/artist-range?artist=Coldplay
In My Place,Coldplay,A2,D4,C3,F#4,https://singingcarrots.com/artist-range?artist=Coldplay
Sail On,Commodores,G2,D4,A2,F#4,https://singingcarrots.com/artist-range?artist=Commodores
Easy,Commodores,G2,D4,D#3,G#4,https://singingcarrots.com/artist-range?artist=Commodores
Three Times a Lady,Commodores,G2,D4,C3,D4,https://singingcarrots.com/artist-range?artist=Commodores
Nightshift,Commodores,G2,D4,C3,D4,https://singingcarrots.com/artist-range?artist=Commodores
Just to Be Close to You,Commodores,G2,D4,C3,G4,https://singingcarrots.com/artist-range?artist=Commodores
Being Alive,Company,C3,F4,D3,G4,https://singingcarrots.com/artist-range?artist=Company
Reckless Love,Cory Asbury,G2,D4,B2,A4,https://singingcarrots.com/artist-range?artist=Cory%20Asbury
Longer,Dan Fogelberg,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Leader of the Band,Dan Fogelberg,G2,C4,C3,G#4,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Same Old Lang Syne,Dan Fogelberg,G2,C4,G3,C5,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Shout to the Lord,Darlene Zschech,G2,D4,E4,B5,https://singingcarrots.com/artist-range?artist=Darlene%20Zschech
